Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"10403-1","Classic","Building Bigger Thinking",2018,"World Fun",2,295,14.99,19.99,24.99,19.99,5702016176360,673419292528,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,14.8800,9.1000,"01/01/2018","31/12/2018"
"10703-1","Classic","",2017,"Creative Builder Box",,502,19.99,,,24.99,5702015868860,673419267366,26.2,22.2,14.3,,"",1,1,0,,,,,,,,,35.5500,20.0000,"01/01/2017","31/12/2018"
"10712-1","Classic","",2018,"Bricks and Gears",,244,17.99,19.99,24.99,19.99,5702016111347,673419282901,26.2,19.1,6.1,0.4,"",1,1,0,,,,,,,,,20.9900,11.6700,"01/01/2018","31/12/2019"
"10713-1","Classic","",2018,"Creative Suitcase",,213,17.99,19.99,24.99,19.99,5702016111330,673419282895,28.5,26.2,6.4,0.84,"",1,1,0,,,,,,,,,14.5400,10.5000,"01/01/2018","31/12/2024"
"10715-1","Classic","",2018,"Bricks on a Roll",,442,19.99,,,24.99,5702016111910,,26.2,22.2,14.3,,"",1,1,0,,,,,,,,,22.7700,15.3700,"01/01/2018","31/07/2021"
"10731-1","Juniors","Cars 3",2017,"Cruz Ramirez Race Simulator",1,59,7.99,9.99,12.99,9.99,,673419266703,15.6972,14.097,4.4958,0.1270058,"",1,1,0,,,,,,,,,10.2100,8.0000,"01/06/2017","31/12/2018"
"10750-1","Juniors","City",2018,"Road Repair Truck",1,73,8.99,9.99,12.99,9.99,5702016092974,673419279888,15.5,14,4.4,0.15,"",1,1,0,,,,,,,,,8.6600,6.3400,"",""
"17101-1","Boost","",2017,"Boost Creative Toolbox",,843,149.99,159.99,199.99,169.99,5702015930000,673419272292,54.0004,28.194,9.0932,1.383456,"",1,1,0,,,,,,,,,155.1300,87.5700,"01/08/2017","31/12/2022"
"21145-1","Minecraft","Minifig-scale",2018,"The Skull Arena",2,198,19.99,19.99,24.99,19.49,5702016109634,673419281577,26.2,19.1,7.2,0.42,"",1,1,0,,,,,,,,,40.4700,19.9800,"01/08/2018","31/12/2020"
"21148-1","Minecraft","Bigfigs",2019,"Minecraft Steve BigFig with Parrot",,159,12.99,14.99,19.99,14.99,5702016370560,673419304320,14.1,19.1,4.6,0.17,"",1,1,0,,,,,,,,,26.5100,18.5500,"01/01/2019","31/12/2019"
"21149-1","Minecraft","Bigfigs",2019,"Minecraft Alex BigFig with Chicken",,160,12.99,14.99,19.99,14.99,5702016370874,673419304337,14.1,19.1,4.6,0.17,"",1,1,0,,,,,,,,,28.0000,13.5200,"01/01/2019","31/12/2019"
"21150-1","Minecraft","Bigfigs",2019,"Minecraft Skeleton BigFig with Magma Cube",,142,12.99,14.99,19.99,14.99,5702016370881,673419304344,14.1,19.1,4.6,0.17,"",1,1,0,,,,,,,,,24.0600,13.7500,"01/01/2019","31/12/2019"
"21151-1","Minecraft","Minifig-scale",2019,"The End Battle",2,222,19.99,19.99,24.99,19.99,5702016370898,673419304450,26.2,19.1,6.1,0.38,"",1,1,0,,,,,,,,,30.4100,13.5700,"01/01/2019","31/12/2021"
"21155-1","Minecraft","Minifig-scale",2019,"The Creeper Mine",4,834,79.99,79.99,99.99,79.99,5702016370935,,54,28.2,9.1,,"",1,1,0,,,,,,,,,86.9900,63.3500,"01/08/2019","31/12/2021"
"21156-1","Minecraft","Bigfigs",2020,"BigFig Creeper and Ocelot",,184,12.99,14.99,19.99,14.61,5702016618235,673419319003,14.1,19.1,4.6,0.16,"",1,1,0,,,,,,,,,19.3000,12.1600,"01/01/2020","31/12/2020"
"21157-1","Minecraft","Bigfigs",2020,"BigFig Pig with Baby Zombie",,159,12.99,14.99,19.99,14.61,5702016618242,673419319010,14.1,19.1,4.6,0.17,"",1,1,0,,,,,,,,,17.1400,10.5800,"01/01/2020","31/12/2020"
"21158-1","Minecraft","Minifig-scale",2020,"The Panda Nursery",1,204,17.99,19.99,24.99,19.99,5702016618259,673419319027,26.2,19.1,6.1,0.32,"",1,1,0,,,,,,,,,17.2200,13.4800,"01/01/2020","31/12/2022"
"21162-1","Minecraft","Minifig-scale",2020,"The Taiga Adventure",2,74,8.99,9.99,13.99,9.99,5702016618297,673419319065,14.1,12.2,4.6,0.1,"",1,1,0,,,,,,,,,11.2800,6.8500,"01/01/2020","31/12/2021"
"21164-1","Minecraft","Minifig-scale",2021,"The Coral Reef",2,92,8.99,9.99,13.99,9.99,5702016913569,,14.1,12.2,6.1,,"",1,1,0,,,,,,,,,9.3900,5.5800,"01/01/2021","31/12/2023"
"21165-1","Minecraft","Minifig-scale",2020,"The Bee Farm",2,238,17.99,19.99,24.99,19.99,5702016913774,673419340205,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,17.5600,11.5000,"01/12/2020","31/12/2022"
"21167-1","Minecraft","Minifig-scale",2020,"The Trading Post",3,201,19.99,19.99,24.99,22.99,5702016913453,673419340229,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,18.5300,11.3400,"01/12/2020","31/12/2022"
"21178-1","Minecraft","Minifig-scale",2022,"The Fox Lodge",2,193,17.99,19.99,32.99,19.99,5702017155791,,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,17.0300,15.0000,"01/01/2022","31/12/2023"
"21179-1","Minecraft","Minifig-scale",2022,"The Mushroom House",2,272,17.99,24.99,32.99,19.99,5702017156583,,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,15.3200,13.1400,"01/01/2022","31/12/2023"
"30331-1","Minecraft","Minifig-scale",2021,"The Nether Duel",2,28,,,,,5702016916324,673419341691,17,19.5,0.9,,"",1,1,0,,,,,,,,,5.4400,4.2000,"01/01/2021","31/12/2021"
"30392-1","Harry Potter","General",2021,"Hermione's Study Desk",1,31,,,,,,673419341714,17,17,0.6,,"",1,1,0,,,,,,,,,4.5800,3.4100,"01/08/2021","31/12/2022"
"30411-1","Friends","Miscellaneous",2020,"Chocolate Box & Flower",,75,3.49,4.99,4.99,3.99,5702016668704,,20,19.5,1.1,0.054,"",1,1,0,,,,,,,,,3.0000,1.0000,"01/01/2020","31/12/2021"
"30414-1","Friends","Amusement Park",2021,"Emma's Magical Box",1,67,,,,,5702016916225,673419341752,17,17,2.2,,"",1,1,0,,,,,,,,,2.8500,,"01/06/2021","31/12/2022"
"30420-1","Harry Potter","General",2020,"Harry Potter and Hedwig: Owl Delivery",1,31,,,,,5702016668087,673419322065,17,17,0.7,,"",1,1,0,,,,,,,,,4.4800,3.6900,"01/06/2020","31/12/2021"
"30532-1","Ninjago","Sons of Garmadon",2018,"Turbo",1,61,3.99,,,3.49,5702016123258,,17,17,1,,"",1,1,0,,,,,,,,,4.3500,5.8800,"01/01/2018","31/12/2018"
"30574-1","Creator","3 in 1",2020,"Cat",,55,3.49,4.99,,3.99,5702016668186,,17,17,0.7,0.03,"",1,1,0,,,,,,,,,5.0600,2.4600,"01/01/2020","31/12/2020"
"30578-1","Creator","3 in 1",2021,"German Shepherd",,76,,,,,5702016915822,,17,19.5,1,0.046,"",1,1,0,,,,,,,,,4.2200,2.0000,"01/01/2021","31/12/2021"
"30579-1","Creator","Seasonal",2021,"Easter Chick Egg",,52,3.49,4.99,,3.99,5702016914788,673419340915,17,19.5,0.9,0.041,"",1,1,0,,,,,,,,,4.6000,1.4700,"01/03/2021","31/12/2021"
"30591-1","Ninjago","Possession",2021,"Titanium Mini Mech",,77,,,,,5702016914122,673419339827,17,17,1.1,,"",1,1,0,,,,,,,,,3.8300,3.2600,"01/01/2021","31/12/2021"
"31058-1","Creator","3 in 1",2017,"Mighty Dinosaurs",,174,12.99,14.99,17.99,14.99,5702015867535,673419266482,26.2128,14.097,4.8006,0.2358678,"",1,1,0,,,,,,,,,10.6900,7.5400,"",""
"31074-1","Creator","3 in 1",2018,"Rocket Rally Car",,241,17.99,19.99,24.99,19.99,5702016111798,673419283267,26.2,19.1,6.1,0.44,"",1,1,0,,,,,,,,,20.0800,11.9900,"01/01/2018","31/12/2019"
"31087-1","Creator","3 in 1",2019,"Dune Buggy",,147,12.99,12.99,17.99,12.66,5702016367829,673419302081,19.1,14.1,6.1,0.25,"",1,1,0,,,,,,,,,11.6500,6.3300,"",""
"31092-1","Creator","3 in 1",2019,"Helicopter Adventure",,114,9.99,9.99,13.99,9.74,5702016395389,673419308779,19.1,14.1,4.6,0.19,"",1,1,0,,,,,,,,,7.8300,5.5000,"01/01/2019","31/12/2020"
"31114-1","Creator","3 in 1",2021,"Superbike",,236,17.99,19.99,24.99,19.99,5702016888362,,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,14.8700,13.3700,"01/01/2021","31/12/2022"
