SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,Owned,Wanted,QtyOwned,Rating
27456,"10403","1","Classic","Building Bigger Thinking","2018","World Fun",2,295,14.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/10403-1.jpg",1692,352,"Yes","No",1,
26556,"10703","1","Classic","","2017","Creative Builder Box",,502,19.99,,,24.99,"https://images.brickset.com/sets/images/10703-1.jpg",1497,400,"Yes","No",1,
27664,"10712","1","Classic","","2018","Bricks and Gears",,244,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/10712-1.jpg",1203,230,"Yes","No",1,
27665,"10713","1","Classic","","2018","Creative Suitcase",,213,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/10713-1.jpg",821,177,"Yes","No",1,
27667,"10715","1","Classic","","2018","Bricks on a Roll",,442,19.99,,,24.99,"https://images.brickset.com/sets/images/10715-1.jpg",1586,252,"Yes","No",1,
26765,"10731","1","Juniors","Cars 3","2017","Cruz Ramirez Race Simulator",1,59,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/10731-1.jpg",1238,177,"Yes","No",1,
27629,"10750","1","Juniors","City","2018","Road Repair Truck",1,73,8.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/10750-1.jpg",1098,270,"Yes","No",1,
27861,"21145","1","Minecraft","Minifig-scale","2018","The Skull Arena",2,198,19.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/21145-1.jpg",901,331,"Yes","No",1,
27837,"30532","1","Ninjago","Sons of Garmadon","2018","Turbo",1,61,3.99,,,3.49,"https://images.brickset.com/sets/images/30532-1.jpg",1256,264,"Yes","No",1,
27467,"31074","1","Creator","","2018","Rocket Rally Car",,241,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/31074-1.jpg",1309,380,"Yes","No",1,
28427,"31087","1","Creator","","2019","Dune Buggy",,147,12.99,12.99,17.99,12.99,"https://images.brickset.com/sets/images/31087-1.jpg",762,259,"Yes","No",1,
27948,"41353","1","Friends","Seasonal","2018","Friends Advent Calendar",,500,22.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/41353-1.jpg",1257,131,"Yes","No",1,
28486,"41360","1","Friends","","2019","Emma's Mobile Veterinary Clinic ",1,50,7.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/41360-1.jpg",495,135,"Yes","No",1,
28485,"41361","1","Friends","","2019","Mia's Foal Stable ",1,118,14.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/41361-1.jpg",363,163,"Yes","No",1,
29070,"41362","1","Friends","","2019","Heartlake City Supermarket",2,140,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/41362-1.jpg",137,209,"Yes","No",1,
28479,"41369","1","Friends","","2019","Mia's House",3,715,59.99,69.99,89.99,69.99,"https://images.brickset.com/sets/images/41369-1.jpg",510,320,"Yes","No",1,
23886,"60081","1","City","Great Vehicles","2015","Pickup Tow Truck",2,209,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60081-1.jpg",5718,1474,"Yes","No",1,
23889,"60084","1","City","Great Vehicles","2015","Racing Bike Transporter",2,178,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60084-1.jpg",6240,1254,"Yes","No",1,
26018,"60100","1","City","Airport","2016","Airport Starter Set",4,81,8.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60100-1.jpg",3848,718,"Yes","No",1,
24676,"60107","1","City","Fire","2016","Fire Ladder Truck",2,214,17.99,24.99,29.99,19.99,"https://images.brickset.com/sets/images/60107-1.jpg",6328,1014,"Yes","No",1,
26546,"60146","1","City","Great Vehicles","2017","Stunt Truck",1,91,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60146-1.jpg",3457,772,"Yes","No",1,
26549,"60150","1","City","Great Vehicles","2017","Pizza Van",2,249,14.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60150-1.jpg",12238,1667,"Yes","No",1,
26794,"60156","1","City","Jungle","2017","Jungle Buggy",1,53,4.99,6.99,7.99,5.99,"https://images.brickset.com/sets/images/60156-1.jpg",3534,640,"Yes","No",1,
27517,"60171","1","City","Mountain Police","2018","Mountain Fugitives",4,88,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60171-1.jpg",4112,682,"Yes","No",1,
27518,"60172","1","City","Mountain Police","2018","Dirt Road Pursuit",3,297,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/60172-1.jpg",1503,573,"Yes","No",1,
27695,"60177","1","City","Great Vehicles","2018","Airshow Jet",1,87,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60177-1.jpg",2751,495,"Yes","No",1,
27522,"60178","1","City","Great Vehicles","2018","Speed Record Car",1,78,7.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60178-1.jpg",2355,480,"Yes","No",1,
27523,"60180","1","City","Great Vehicles","2018","Monster Truck",1,192,14.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60180-1.jpg",3507,660,"Yes","No",1,
27607,"60181","1","City","Great Vehicles","2018","Forest Tractor",1,174,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60181-1.jpg",5330,1040,"Yes","No",1,
27608,"60182","1","City","Great Vehicles","2018","Pickup & Caravan",3,344,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/60182-1.jpg",5569,1467,"Yes","No",1,
27696,"60184","1","City","Mining","2018","Mining Team",4,82,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60184-1.jpg",3432,639,"Yes","No",1,
27697,"60185","1","City","Mining","2018","Mining Power Splitter",1,127,12.99,19.99,24.99,14.99,"https://images.brickset.com/sets/images/60185-1.jpg",1910,611,"Yes","No",1,
27846,"60190","1","City","Arctic","2018","Arctic Ice Glider",1,50,4.99,6.99,8.99,5.99,"https://images.brickset.com/sets/images/60190-1.jpg",2952,548,"Yes","No",1,
27847,"60191","1","City","Arctic","2018","Arctic Exploration Team",3,70,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60191-1.jpg",4107,701,"Yes","No",1,
27848,"60192","1","City","Arctic","2018","Arctic Ice Crawler",1,200,15.99,24.99,29.99,19.99,"https://images.brickset.com/sets/images/60192-1.jpg",2202,692,"Yes","No",1,
28476,"60207","1","City","Sky Police","2019","Drone Chase",3,192,17.99,29.99,39.99,19.99,"https://images.brickset.com/sets/images/60207-1.jpg",1158,660,"Yes","No",1,
